	city name	full city name (GEA)	full city name (UITP)	full city name (WB)	definition  (WB)	study_year (WB)	country	population (GEA)	population (UITP)	population (WB)	population_year (WB)	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	area_size (GEA)	area_size (WB)	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)
65	Fuzhou	Fuzhou      					China	6227300.0									12177.0		511.3985382278065			56432.54483988844		37.8831415730852		ZSFZ	665.0	486.0	1.01	0.99	-999.0	3.22	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Fujian"""	42.522	1.0	-999	7745.577150948458		
66	Gävle	Gävle					Sweden	92205.0											1471.35149476379					388.42600292825773		ESSA	22.0	3364.0	1.52	1.38	-999.0	3.2	2011.0	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (2724230/849349)	84.319	1.0	-999	27784.47867158672		
67	Geneva canton	Genva canton	Geneva	Geneva 	Canton	2005.0	Switzerland	432057.98190474295	399081.0	432058.0	2005.0						282.48	282.48	1529.5170698978438	5235.0	1529.5171339563863	25706.80957468114	25706.810651322117	197.9498410810251	5.7	LSGG	84.0	2197.0	1.52	1.3	50.13	2.27	2000.0	http://www.bfs.admin.ch/bfs/portal/en/index/infothek/onlinedb/stattab.html 	Calculation: population/households (403067/177364)	73.457	1.0	Mountains	42588.36986310348	45307.74	42588.36986310348
68	Glasgow	Glasgow City	Glasgow				United Kingdom	580500.0	2177400.0								175.5		3307.6923076923076	3402.0000000000005		43819.12122139586		85.54749294857093		EGPF	0.0	2418.0	1.65	1.44	-999.0	2.04	2004.0	http://www.urbanaudit.org	-999	79.007	0.0	River	45900.30501331721	14698.46	
69	Gloucestershire	Gloucestershire					United Kingdom	578900.0									3150.0		183.77777777777777			10314.502196206831		104.67113623972409		EGDL	2.0	2217.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	33270.995313660176		
70	Guangzhou	Guangzhou, Guangdong	Guangzhou				China	7607200.0	3853800.0										1708.0	11904.0				93.78921648404659		ZGGG	1071.0	259.0	1.01	0.99	-999.0	3.65	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	-999	42.522	1.0	-999	23143.25513015306	2796.01	
71	Guiyang	Guiyang					China	3545200.0									8034.0		441.2745830221558			39552.58084790608		97.90116476159079		ZUGY	151.0	1404.0	1.01	0.99	-999.0	3.66	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Guizhou"""	42.522	1.0	-999	4929.242534192894		
72	Gwent Valleys	Gwent Valleys					United Kingdom	331600.0											255.6					91.3165964985237		EGFF	0.0	1948.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	20280.389638909568		
73	Haerbin	Haerbin					China	9804000.0									53000.0		184.9811320754717			42585.85468049132		55.73525289014503		ZYHB	158.0	4815.0	1.01	0.99	-999.0	3.22	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Heilongjiang"""	42.522	0.0	River	6191.213202017652		
74	Haikou	Haikou					China	1766800.0000000002									2237.0		789.8077782744748			37355.48664728305		31.066826749244587		ZJHK	998.0	51.0	1.01	0.99	-999.0	4.23	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Hainan"""	42.522	1.0	-999	5744.100696100842		
75	Halmstad	Halmstad					Sweden	88224.0											86.57984867					132.51079978237215		ISCANIAB1	17.0	2706.0	1.52	1.38	-999.0	2.05	2011.0	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (92294/44891)	84.319	1.0	-999	27059.666184501846		
76	Halton and Warrington	Halton and Warrington					United Kingdom	313600.0											255.6					128.46910858902285		EGGP	2.0	1916.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	39238.11736603551		
77	Hamburg	Hamburg	Hamburg				Germany	1769116.9999999998	1707901.0								755.0		2343.201324503311	3840.0		64384.759824055596		104.79295603399889		EDDH	32.0	2416.0	1.56	1.56	51.53	1.86	2004.0	http://www.urbanaudit.org	-999	73.355	0.0	Major River	33348.45513281597	37305.72	
78	Hampshire CC	Hampshire CC					United Kingdom	1267100.0									3679.0		344.4142430008154			20890.363503451375		131.2848412654528		EGDL	2.0	2217.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	34301.85143215584		
79	Hangzhou	Hangzhou					China	6663100.0											1214.0					72.69784352472337		ZSHC	651.0	1146.0	1.01	0.99	-999.0	2.93	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Zhejiang"""	42.522	0.0	Mountains, Large River	14971.286119343064		
80	Hartlepool and Stockton-on-Tees	Hartlepool and Stockton-on-Tees					United Kingdom	280200.0											255.6					131.4095451739001		EGNV	2.0	2263.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	26211.308098734906		
81	Hefei	Hefei					China	4698500.0									7029.48		668.3993695123964			56039.93609609128		47.479120008797445		ZSOF	553.0	1442.0	1.01	0.99	-999.0	3.49	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Anhui"""	42.522	0.0	Near a lake	6624.220797141151		
