	city name	full city name (GEA)	full city name (UITP)	full city name (WB)	definition  (WB)	study_year (WB)	country	population (GEA)	population (UITP)	population (WB)	population_year (WB)	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	area_size (GEA)	area_size (WB)	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)
123	Milton Keynes	Milton Keynes					United Kingdom	224800.0											2525.842697					103.43648552130388		EGGW	7.0	2240.0	1.65	1.44	-999.0	2.52	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (248821/98600)	79.007	0.0	-999	50372.69506895306		
124	Minneapolis	Minneapolis		Minneapolis 	City 	2005.0	USA	378622.6779574728		387711.0	2005.0	996000.0	2087000.0	2802000.0	1.0173884740241272	1.0148393163948661	151.3	151.3	2502.4631722238782		2562.5313945803036	30781.314262996588	31520.177815553707	157.36223659400804	18.28	KMSP	193.0	3512.0	0.78	0.56	-999.0	2.53	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	-999	80.731	0.0	-999	59580.91142860075		59580.91142860075
125	Monmouthshire and Newport	Monmouthshire and Newport					United Kingdom	227999.99999999997									1040.0		219.2307692307692			7069.979871584882		149.3239498146612		EGFF	0.0	1948.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	34206.83949175867		
126	Moscow	Moskva (Moscow)					Russian Federation	8677177.0											4581.24					184.1282066736682		27612	94.0	3665.0	0.86	0.89	44.99	2.5	2010.0	http://www.perepis-2010.ru/results_of_the_census/results-inform.php	-999	72.93	0.0	-999	17377.53589613265		
127	Msunduzi	Msunduzi 					South Africa	562373.0									634.0		887.0236593059936			22334.68505161623		52.0		FADN	292.0	93.0	0.95	0.87	-999.0	4.58	2007.0	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (616733/134390)	59.256	0.0	Mountains	5472.649602184845		
128	Nakuru	Nakuru					Kenya	95000.0											1413.690476					29.1		HKJK	177.0	71.0	1.14	1.2	-999.0	3.9	2009.0	http://www.knbs.or.ke/Population%20by%20Place%20of%20Residence,%20Sex,%20Number%20of%20Households,%20Area%20and%20Density.php	Calculation: pop/household (1603325/409836)	21.675	0.0	Near a small lake	803.9999999999999		
129	Nanchang	Nanchang					China	4839599.999999999									7372.0		656.4839934888766			56365.94658913098		42.58607130629218		ZSCN	756.0	974.0	1.01	0.99	-999.0	3.61	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Jiangxi"""	42.522	0.0	Mountains, Large River	7090.736905168897		
130	Nanjing, Jiangsu	Nanjing, Jiangsu					China	6072300.0									6598.0		920.3243407093058			74756.17361856558		69.22249584109204		ZSNJ	514.0	1466.0	1.01	0.99	-999.0	3.61	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Jiangxi"""	42.522	0.0	Large River	13240.537094604444		
131	Nanning	Nanning					China	6718900.0											300.0					23.27200848363017		ZGNN	808.0	350.0	1.01	0.99	-999.0	3.67	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Guangxi"""	42.522	0.0	Large River	3753.892299592848		
132	Nelson Mandela	Nelson Mandela 					South Africa	1013883.0									1959.0		517.551301684533			22907.1269784279		30.0		FAJS	114.0	668.0	0.95	0.87	-999.0	3.79	2007.0	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (1050934/276880)	59.256	1.0	-999	8942.071352362253		
133	New York City	New York	New York	New York City 	City 	2005.0	USA	8170000.000000001	19227361.0	8170000.0	2005.0	12338000.0	16086000.0	20104000.0	1.0081704452093307	1.0112108494025054	1213.4	1213.4	6733.146530410418	1803.9999999999998	6733.146530410417	234541.69598059342	234541.6959805934	128.06656927409378	7.7	KNYNEWYO17	286.0	1930.0	0.78	0.56	72.77	2.67	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	80.731	1.0	-999	60483.934468726584	34395.3	60483.934468726584
134	Ningbo	Ningbo					China	5604500.0									9816.0		570.9555827220864			56567.84036328356		72.18818632786707		ZSHC	651.0	1146.0	1.01	0.99	-999.0	2.93	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Zhejiang"""	42.522	1.0	-999	14866.328071800392		
135	Norfolk	Norfolk					United Kingdom	832900.0									5371.0		155.07354310184323			11364.891290704247		97.10371715145773		EGSH	12.0	1997.0	1.65	1.44	-999.0	2.45	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_SF1_QTP11&prodType=table	-999	79.007	1.0	-999	28403.011299532332		
136	Norrköping	Norrköping					Sweden	124642.0											2251.6822428974					279.2535902825693		ESSP	15.0	3254.0	1.52	1.38	-999.0	2.05	2011.0	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (130623/63662)	84.319	1.0	-999	27663.67659040591		
137	North and North East Lincolnshire	North and North East Lincolnshire					United Kingdom	317700.0									1038.1		306.03988055100666			9860.470072519607		380.4096585144284		EGXW	5.0	2201.0	1.65	1.44	-999.0	2.33	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population of NL / Household size (167446/70700=2.37) + population of NEL / Household size (159616/69700=2.29) divided by 2 (2.37+2.29/2)	79.007	1.0	-999	29669.357466490044		
138	North Lanarkshire	North Lanarkshire					United Kingdom	323900.0									470.0		689.1489361702128			14940.392914027792		98.28179757823078		EGPF	0.0	2418.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	26862.54648142757		
139	North Nottinghamshire	North Nottinghamshire					United Kingdom	438600.0											255.6					106.510854508389		03354	5.0	2234.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	26315.414967011635		
140	North Yorkshire CC	North Yorkshire CC					United Kingdom	591500.0											125.0					129.9146400124241		EGNV	2.0	2263.0	1.65	1.44	-999.0	2.33	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (598376/256600)	79.007	1.0	-999	27979.5438245807		
141	Northamptonshire	Northamptonshire					United Kingdom	669000.0									2364.0		282.994923857868			13759.491417233185		118.37140730739806		EGGW	7.0	2240.0	1.65	1.44	-999.0	2.4	2011.0	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (691952/287700)	79.007	0.0	River	34833.14663377106		
142	Nottingham	Nottingham					United Kingdom	286200.0									74.61		3835.946924004825			33133.789545570864		82.44611495817891		03354	5.0	2234.0	1.65	1.44	-999.0	2.21	2004.0	http://www.urbanaudit.org	-999	79.007	-999.0	-999	45590.33764903078		
143	Örebro	Örebro					Sweden	127733.0											2111.30108358509					104.10677585275536		ESOK	13.0	3554.0	1.52	1.38	-999.0	2.01	2011.0	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (137121/67928)	84.319	0.0	-999	28630.093239852402		
144	Oslo	Oslo	Oslo				Norway	549000.0	917852.0								454.03		1209.1712001409599	2396.0		25764.99541776375		94.78		01492	16.0	3401.0	1.63	1.63	-999.0	1.87	2004.0	http://www.urbanaudit.org	-999	77.49	1.0	-999	37972.187210232405	39066.71	
145	Outer Belfast	Outer Belfast					United Kingdom	377800.0											255.6					62.60750486399822		EGAA	0.0	2355.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	22444.64790842958		
146	Oxfordshire	Oxfordshire					United Kingdom	632200.0									2605.0		242.68714011516315			12386.557632401591		113.530530571409		EGVN	6.0	2081.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	42645.398608241725		
147	Paris	Paris	Paris				France	11490968.0	11004254.0								17175.0		669.0519941775837	4762.0		87681.55481873483		91.37800626622492		I75003PA1	71.0	1481.0	1.45	1.52	63.87	1.75	? (2006?)	http://www.paris.fr/english/presentation-of-the-city/demographics-a-cosmopolitan-city/rub_8125_stand_29896_port_18748	-999	81.555	0.0	-999	46691.742839339095	41304.98	
148	Peterborough, UK	Peterborough					United Kingdom	163200.0									343.38		475.27520531189936			8807.094498579085		99.20748844092445		EGXT	6.0	2187.0	1.65	1.44	-999.0	2.48	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (183631/74000)	79.007	0.0	River	45831.01178138815		
149	Plymouth	Plymouth					United Kingdom	248199.99999999997									79.29		3130.281246058771			27873.568219224944		71.11631644906245		EGDB	0.0	1791.0	1.65	1.44	-999.0	2.14	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (137121/67928)	79.007	1.0	-999	28545.114276180542		
150	Portland, OR	Portland		Portland	City 	2005.0	USA	443829.15869020467		682835.0	2005.0	516000.0	1181000.0	2025000.0	1.0230485765331967	1.0273271281943768		376.5	1689.0		1813.6387782204515		35191.1357464655	114.38843936295784	12.26	KPDX	102.0	1874.0	0.78	0.56	-999.0	2.52	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	metro area	80.731	0.0	Major River Junction	50768.92480634707		50768.92480634707
151	Portsmouth	Portsmouth					United Kingdom	196400.00000000003									40.25		4879.503105590063			30956.97675707188		73.9460636774214		EGHI	2.0	2075.0	1.65	1.44	-999.0	2.29	2004	http://www.urbanaudit.org	-999	79.007	-999.0	-999	36288.07015088917		
152	Potchefstroom	Potchefstroom 					South Africa	129074.99999999999											800.0					34.00000000000001		FAJS	114.0	668.0	0.95	0.87	-999.0	3.5	2007	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (124349/35524)	59.256	0.0	River	7779.0592034835345		
153	Prague	Praha (Prague)	Prague	Prague 	Greater Prague 	2005.0	Czech Republic	1200000.0	1212655.0	1181610.0	2005.0	935000.0	1212000.0	1265000.0	1.0050507266654307	1.0021423031860048	496.0	496.0	2419.3548387096776	4879.0	2382.2782258064517	53881.59060803247	53055.85523196438	67.19	7.9	LKPR	49.0	2751.0	1.45	1.37	45.5	2.34	2011.0	http://www.czso.cz/sldb2011/eng/redakce.nsf/i/final_census_results	Calculation: population/households (1268787/542168)	73.698	0.0	-999	24816.241270403352	9144.7	24816.241270403352
154	Qingdao	Qingdao					China	7493800.0									11026.0		679.6481044803193			71366.28731659379		94.67734601970184		ZSQD	286.0	2040.0	1.01	0.99	-999.0	3.12	2003	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Shandong"""	42.522	1.0	-999	12403.001347314761		
155	Riga	Riga					Latvia	717000.0									307.17		2334.2123254224043			40910.02612230728		69.18		EVRA	32.0	3337.0	1.23	1.12	-999.0	2.18	2009	http://www.csb.gov.lv/en/dati/statistics-database-30501.html	Calculation: pop/household (713016/325737)	68.0	1.0	-999	18384.82518765685		
156	Rio de Janeiro	Rio de Janiero	Rio de Janeiro	Rio de Janeiro 	City 	1998.0	Brazil	6823921.460076046	10192097.0	5633407.0	1998.0	2950000.0	9595000.0	11867000.0	1.0234704673536932	1.0106826215294766	1260.0	1260.0	5415.810682600037	5814.0	4470.957936507936	192242.20853055004	158703.26315558027	22.972598373889003	1.0	SBRJ	597.0	0.0	1.03	1.26	35.91	2.94	2010.0	http://www.ibge.gov.br/cidadesat/topwindow.htm?1	Calculation: population/households (6320446/2144445)	82.834	1.0	-999	12293.562959651743	8726.56	12293.562959651743
157	Roma	Roma (Rome)	Rome				Italy	2802500.0	2654187.0								1285.31		2180.4078393539303	5581.0		78170.2818837785		60.330589022304366		LIRA	309.0	1085.0	1.63	1.57	45.99	2.41	2004	http://www.urbanaudit.org	-999	67.588	0.0	Near coast, not on - small river	36732.909341985185	25542.22	
158	Saldanha	Saldanha 					South Africa	79315.0									1766.0		44.91223103057758			1887.382739189447		374.0		FACT	131.0	461.0	0.95	0.87	-999.0	3.8	2007	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (78985/20785)	59.256	1.0	-999	9722.186869762536		
159	Sao Paulo	Sao Paulo	Sao Paulo	Sao Paulo 	City 	2000.0	Brazil	10434252.0	16562227.0	10434252.0	2000.0	2334000.0	14776000.0	19649000.0	1.0361452967961176	1.0143531413572517	1522.986	1522.986	6851.180509866801	7765.999999999999	6851.180509866801	267370.4245750429	267370.4245750429	22.972598373889003	0.9	SBSP	256.0	120.0	1.03	1.26	42.7	3.14	2010.0	http://www.ibge.gov.br/cidadesat/topwindow.htm?1	Calculation: population/households	82.834	0.0	Near coast and not on	12273.046148780848	5319.33	12273.046148780848
160	Seattle	Seattle		Seattle 	City 	2005.0	USA	405147.20688789996		575732.0	2005.0	795000.0	2206000.0	3298000.0	1.023995524983453	1.0203102678062106		369.2	2858.0		1559.404117009751		29963.291726615385	154.19601714321848	13.5	KBFI	42.0	1917.0	0.78	0.56	-999.0	2.49	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table	-999	80.731	1.0	-999	62472.08565881372		62472.08565881372
161	Sedibeng	Sedibeng 					South Africa	883772.0									4173.0		211.78336927869637			13680.943382463509		191.99999999999997		FAJS	114.0	668.0	0.95	0.87	-999.0	3.37	2007	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Same as for Johannesburg	59.256	0.0	-999	5357.896799821641		
162	Sefton	Sefton					United Kingdom	277600.0									153.1		1813.1939908556499			22435.299237173735		67.29584627108454		03316	2.0	1969.0	1.65	1.44	-999.0	2.32	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (273790/117900)	79.007	0.0	-999	21268.886258369203		
163	Shanghai	Shanghai	Shanghai	Shanghai 	Shanghai Government Administered Area (Province) 	2006.0	China	14502576.0	9570000.0	18150000.0	2006.0	4301000.0	7823000.0	19554000.0	1.0255600687717372	1.046870866723442		6340.5	3700.0	19631.0	2862.550272060563		227937.02515804497	140.53883158386188	10.9	ZSSS	601.0	1147.0	1.01	0.99	52.89	2.89	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	Section 4-5	42.522	1.0	-999	9584.504159812714	2474.12	15300.0
164	Sheffield	Sheffield					United Kingdom	526100.0									367.94		1429.8526933739197			27427.09430442859		88.75419232558004		EGCC	2.0	2227.0	1.65	1.44	-999.0	2.3	2004	http://www.urbanaudit.org	-999	79.007	-999.0	-999	30420.68121899431		
165	Shenyang	Shenyang					China	7035600.0									12942.0		543.6254056560037			61844.40883405208		107.24381083876533		ZYYY	198.0	3642.0	1.01	0.99	-999.0	3.14	2003	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Liaoning"""	42.522	0.0	River, Mountains	10380.615259849752		
166	Shenzhen	Shenzhen					China	7233375.0											5100.0					94.40970309134315		ZGSZ	1074.0	142.0	1.01	0.99	40.04	3.65	2003	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Guangdong"""	42.522	1.0	-999	23296.36526792619		
167	Shijiazhuang	Shijiazhuang					China	9395000.0									15722.0		597.5702836789212			74927.78400008548		69.40756676130921		ZBSJ	367.0	2395.0	1.01	0.99	-999.0	3.28	2003	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Hubei"""	42.522	0.0	Mountains	6252.661542350882		
168	Shinayanga	Shinayanga					Tanzania	55380.0											47.5					14.9		Only 22 month of data (same for all neighboring cities in the country)			1.3	1.11	-999.0	6.2	2002	http://www.nbs.go.tz/takwimu/references/2002popcensus.pdf	-999	24.192	0.0	Mountains	393.99999999999994		
169	Shropshire CC	Shropshire CC					United Kingdom	289300.0											136.0					99.1805948922072		EGOS	2.0	2234.0	1.65	1.44	-999.0	2.36	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (306129/129700)	79.007	0.0	-999	24356.077505220554		
170	Singapore	Singapore	Singapore				Singapore	4327468.0	2986500.0								710.0		6095.025352112676	9353.0		162406.98005460337		158.36911838516195		WSAP	1876.0	0.0	0.9	1.07	66.16	3.5	2010	http://www.singstat.gov.sg/stats/themes/people/hhldindicators.pdf	-999	100.0	1.0	-999	29809.579181174766	28577.93	
171	Skåne county	Skane county					Sweden	1169464.0									11027.0		106.05459327106193			11136.742291404124		123.42677807953044		ESMS	9.0	2838.0	1.52	1.38	-999.0			-999	-999	84.319	-999.0	-999	28871.697402214028		
172	Sofia	Sofia					Bulgaria	1200000.0									492.0		2439.0243902439024			54100.17808004594		80.71		1661	197.0	2407.0	1.37	1.28	-999.0	1.38		http://www.nsi.bg/otrasalen.php?otr=45&a1=1902&a2=1903#cont and http://www.nsi.bg/otrasalen.php?otr=53&a1=1583&a2=1584&a3=1585#cont	Calculation: pop/household (245616/177065)	70.179	0.0	Mountains	12846.964369452307		
173	Sol Plaatje	Sol Plaatje 					South Africa	196846.0									3145.0		62.59014308426073			3510.073974372105		32.0		RKSS	239.0	2449.0	0.95	0.87	-999.0	4.66	2007	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (243015/52120)	59.256	0.0	small lake	9053.624517178781		
174	Somerset	Somerset					United Kingdom	519000.0									3451.0		150.39119095914228			8834.762481685337		106.96312726392982		EGGD	1.0	2229.0	1.65	1.44	-999.0	2.33	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (529972/227000)	79.007	1.0	-999	29479.77309120766		
175	South and West Derbyshire	South and West Derbyshire					United Kingdom	482000.0											388.0					135.6462087368354		03354	5.0	2234.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	27621.932945784465		
176	South Ayrshire	South Ayrshire					United Kingdom	111700.0									1222.0		91.40752864157119			3195.34363555213		109.38827033008589		EGPK	0.0	2241.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	28750.134689160554		
177	South Lanarkshire	South Lanarkshire					United Kingdom	307800.0									1772.0		173.70203160270881			7312.009664060475		94.35065385554832		EGPF	0.0	2418.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	29245.100663218844		
178	South Nottinghamshire	South Nottinghamshire					United Kingdom	330500.0											505.0					85.5279211619086		03354	5.0	2234.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	23644.293596115334		
179	Southampton	Southampton					United Kingdom	228800.0									51.81		4416.135881104034			31786.97672941865		70.93727727938757		EGHH	2.0	1981.0	1.65	1.44	-999.0	2.4	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (236882/98300)	79.007	0.0	Estuary	36986.40448824357		
180	Southend-on-Sea	Southend-on-Sea					United Kingdom	160200.0									41.76		3836.206896551724			24790.327646636426		77.21591964733327		EGMC	11.0	1855.0	1.65	1.44	-999.0	2.32	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (173658/74700)	79.007	1.0	-999	26755.92912632688		
181	Staffordshire CC	Staffordshire CC					United Kingdom	823100.0									2620.0		314.1603053435114			16080.589147423807		116.00734806800027		ISTAFFOR7	3.0	2098.0	1.65	1.44	-999.0	2.38	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: pop/household (848489/355300)	79.007	0.0	-999	25743.175755151067		
182	Stockholm	Stockholm county	Stockholm				Sweden	1889945.0	1725756.0								6488.0		291.29855117139334	2903.0		23463.55131461602		70.40807367410163		ESSB	18.0	3210.0	1.52	1.38	56.67	1.93	2011	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (863110/445676)	84.319	1.0	Marshland?	45421.58252398524	33437.69	
183	Stoke-on-Trent	Stoke-on-Trent					United Kingdom	239400.0									92.74		2581.410394651715			24859.397588831886		88.61575155275997		EGOS	2.0	2234.0	1.65	1.44	-999.0	2.26	2004	http://www.urbanaudit.org	-999	79.007	-999.0	-999	25911.808691011855		
184	Suffolk	Suffolk					United Kingdom	702400.0									3798.0		184.93944181147972			11397.432339276393		94.58070279336353		EGUW	7.0	2219.0	1.65	1.44	-999.0	2.34	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (728163/310700)	79.007	1.0	-999	29315.72059688906		
185	Sunderland	Sunderland					United Kingdom	280600.0											255.6					89.31439988801507		EGNT	0.0	2443.0	1.65	1.44	-999.0	2.3	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (275506/119800)	79.007	1.0	-999	30801.619722212312		
186	Sundsvall	Sundsvall					Sweden	94044.0											1238.02779374596					305.19401556718134		ESNN	5.0	4255.0	1.52	1.38	-999.0	2.02	2011	http://www.ssd.scb.se/databaser/makro/start.asp?lang=2 	Calculation: population/households (96113/47456)	84.319	1.0	-999	26576.457859778595		
187	Surrey	Surrey					United Kingdom	1086000.0									1663.0		653.0366806975346			26630.76858142706		103.90698978415246		EGKK	11.0	2009.0	1.65	1.44	-999.0	2.48	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (1132390/455800)	79.007	0.0	River	40810.10840664144		
188	Swansea	Swansea					United Kingdom	227200.0									378.0		601.058201058201			11685.907037129095		91.83455158338008		EGOP	0.0	1944.0	1.65	1.44	-999.0	2.3	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (239023/103500)	79.007	1.0	-999	26986.155202689843		
189	Swindon	Swindon					United Kingdom	186800.0											255.6					116.0034841116193		EGDL	2.0	2217.0	1.65	1.44	-999.0	2.37	2011	http://www.ons.gov.uk/ons/interactive/vp2-2011-census-comparator/index.html / http://www.nomisweb.co.uk/articles/658.aspx (Table H01 2011 Census: Number of households with at least one usual resident, local authorities in England and Wales)	Calculation: population/households (209156/88400)	79.007	0.0	-999	51302.130815599		
190	Sydney	Sydney	Sydney				Australia	4399000.0	3741290.0								12144.6		362.21859921281884	1893.0		39917.40996028162		215.95817231188906		94768	140.0	335.0	0.94	0.74	58.33	2.7	2011	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/1GSYD?opendocument&navpos=220#householdcomposition	-999	88.182	1.0	-999	40378.326135270676	22397.32	
191	Taiyuan, Shanxi	Taiyuan, Shanxi					China	3488200.0											600.0					151.41365923148288		ZBYN	277.0	2683.0	1.01	0.99	-999.0	3.61	2003	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Shanxi"""	42.522	0.0	Mountains	8423.114130960414		
192	Tallinn	Tallinn					Estonia	398000.0									159.2		2500.0			31543.62059117501		89.55999999999999		EETN	19.0	3554.0	1.3	1.18	-999.0	2.32	2004	http://www.urbanaudit.org	-999	69.425	-999.0	-999	26360.37617261404		
193	Telford and Wrekin	Telford and Wrekin					United Kingdom	161800.0											255.6					101.68957124915984		EGOS	2.0	2234.0	1.65	1.44	-999.0			-999	-999	79.007	-999.0	-999	32643.880270835252		
194	Thurrock	Thurrock					United Kingdom	148800.0									163.38		910.7601909658465			11641.353719208002		329.6720218504694		EGMC	11.0	1855.0	1.65	1.44	-999.0	2.52	2011	-999	Calculation: pop/household (157705/62400)	79.007	0.0	Estuary	28024.226404398727		
195	Tianjin	Tianjin		Tianjin 	Tianjin Government Administered Area (Province) 	2006.0	China	7039516.000000001		10750000.0	2006.0	2467000.0	4558000.0	8535000.0	1.0209016512582392	1.0318616224246837	5606.9	11760.0	1255.5094615562969		914.1156462585034	94011.5894067159	99129.93088507079	139.71691170245228	10.8	54527	424.0	2315.0	1.01	0.99	-999.0	3.07	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	-999	42.522	1.0	-999	6392.484937884934		6392.484937884934
196	Tokyo	Tokyo		Tokyo 	Tokyo Metropolitan Government Administered Areas (Tokyo-to)   	2006.0	Japan	12790000.0		12677921.0	2006.0	11275000.0	32530000.0	36933000.0	1.0199721193130113	1.006367321744709	2187.66	2187.66	5846.42951829809		5795.197151294077	273451.70238825097	271055.44020279567	59.78107896794371	4.4	RJTD	392.0	1065.0	1.3	1.42	66.6	2.05	2010.0	http://www.stat.go.jp/data/nenkan/pdf/yhyou02.pdf	-999	85.978	1.0	-999	33714.0473017425		41300.0
197	Torino	Torino (Turin)					Italy	2121223.0											340.0					93.46991108431315		LIMK	44.0	1954.0	1.63	1.57	-999.0	2.06	2004	http://www.urbanaudit.org	-999	67.588	0.0	Mountains	34933.44576281395		
