country,population,area,gini_index,happy_planet_index,hdi_index,world_happiness_score,sustainable_economic_development_assessment,gdp_billions,gdp_per_capita,gdp_growth_annual_pct,health_expenditure_pct_gdp,health_expenditure_per_person,education_expenditure_pct_gdp,education_expenditure_per_person,school_years,unemployment_pct,government_spending_score,government_expenditure_pct_gdp,political_rights_score,civil_liberties_score,political_stability,government_effectiveness,regulatory_quality,rule_of_law,control_of_corruption,judicial_effectiveness_score,government_integrity_score,property_rights_score,overall_economic_freedom_score,women_mps_pct,index,happiest_country,region,employment_rate,population_scaled,area_scaled,gini_index_scaled,happy_planet_index_scaled,hdi_index_scaled,world_happiness_score_scaled,sustainable_economic_development_assessment_scaled,gdp_billions_scaled,gdp_per_capita_scaled,gdp_growth_annual_pct_scaled,health_expenditure_pct_gdp_scaled,health_expenditure_per_person_scaled,education_expenditure_pct_gdp_scaled,education_expenditure_per_person_scaled,school_years_scaled,unemployment_pct_scaled,government_spending_score_scaled,government_expenditure_pct_gdp_scaled,political_rights_score_scaled,civil_liberties_score_scaled,political_stability_scaled,government_effectiveness_scaled,regulatory_quality_scaled,rule_of_law_scaled,control_of_corruption_scaled,judicial_effectiveness_score_scaled,government_integrity_score_scaled,property_rights_score_scaled,overall_economic_freedom_score_scaled,women_mps_pct_scaled,index_scaled,employment_rate_scaled
Albania,29e5,27398,29,36.8,0.785,4.639548302,53.1,34.2,11840,2.6,6.82443871,774,NA,NA,16,16.3,72.7,30.1,3,3,0.4,0.08,0.22,-0.4,-0.42,25.4,39.9,54.1,64.5,27.9,103,FALSE,NA,83.7,0.0018763080031752905,0.001653617607553226,NA,NA,0.7133105802047782,0.2910130703973225,0.5346820809248556,0.0014561784241331043,0.1082524600632795,0.6218905472636815,0.2947853140703364,0.07807239057239057,NA,NA,0.6923076923076923,0.625,0.748936170212766,0.41431670281995664,0.3333333333333333,0.3333333333333333,0.7017543859649122,0.4648241206030151,0.483695652173913,0.3537234042553192,0.27520435967302453,0.10236220472440943,0.31365313653136534,0.4496894409937889,0.5130260521042085,0.5573033707865168,0.7611940298507462,0.3750000000000002
Cambodia,16e6,176515,37.9,25.6,0.582,4.585842133,38.5,59,3737,6.9,5.98226009,210,1.90083003,20.790557834844947,11,0.3,86.5,21.2,6,5,0.17,-0.66,-0.5,-1.06,-1.29,24.5,17.7,36,58.7,20.3,106,FALSE,NA,99.7,0.011330013711481561,0.010758650352015023,NA,NA,0.3668941979522184,0.27892016582467394,0.323699421965318,0.0026211211634395875,0.02984973536782421,0.835820895522388,0.2354629975380677,0.01872895622895623,NA,NA,0.3076923076923077,0,0.8957446808510638,0.2212581344902386,0.8333333333333334,0.6666666666666666,0.644110275689223,0.27889447236180903,0.28804347826086957,0.17819148936170212,0.03814713896457763,0.0905511811023622,0.04059040590405903,0.22484472049689444,0.3967935871743488,0.3865168539325843,0.7835820895522388,1
Chad,15e6,1259200,43.3,12.8,0.404,4.558937073,20.4,29,2445,1.8,4.58,100,NA,NA,7,5.8,90.5,17.7,7,6,-1.34,-1.46,-1.21,-1.3,-1.43,24.1,23.1,25.1,49.3,12.8,107,FALSE,NA,94.2,0.010608356787183373,0.07686702415874143,NA,NA,0.0631399317406144,0.2728620103248582,0.06213872832369939,0.0012119162368591642,0.017348646844249208,0.582089552238806,0.1366890380191861,0.007154882154882155,NA,NA,0,0.21484375000000003,0.9382978723404256,0.14533622559652926,1,0.8333333333333334,0.26566416040100244,0.07788944723618092,0.09510869565217393,0.11436170212765956,0,0.08530183727034123,0.10701107011070113,0.08944099378881991,0.20841683366733466,0.21797752808988766,0.7910447761194029,0.7851562500000001
South Africa,57e6,1214470,62.5,15.9,0.699,4.513655186,38.5,739.4,13225,1.3,8.20115459,1086,6.04693985,389.0572274696202,13,25.9,68.1,32.6,2,2,-0.27,0.28,0.23,-0.01,-0.01,65.9,45.4,67.7,63,42,108,FALSE,NA,74.1,0.0409179476077073,0.07413582573964919,NA,NA,0.5665529010238908,0.26266598352651305,0.323699421965318,0.034581888898283585,0.12165339474218924,0.5572139303482587,0.3917599620474613,0.1109006734006734,NA,NA,0.46153846153846156,1,0.7,0.4685466377440347,0.16666666666666666,0.16666666666666666,0.5338345864661653,0.5150753768844221,0.48641304347826086,0.4574468085106383,0.3869209809264305,0.6338582677165355,0.3813038130381304,0.6186335403726708,0.4829659318637275,0.8741573033707865,0.7985074626865671,0
Kenya,5e7,569140,48.5,24.2,0.59,4.475654125,35.4,152.8,3361,5.6,5.22017671,157,5.280149937,70.49651008986639,11,11,77.5,27.4,4,4,-1.08,-0.31,-0.23,-0.41,-0.82,44,27.5,47.9,54.7,21.8,109,FALSE,NA,89,0.03586634913761998,0.034732197843543915,NA,NA,0.38054607508532423,0.2541093649314984,0.27890173410404623,0.007027235233881046,0.026211647686040774,0.7711442786069651,0.18178251881451474,0.013152356902356903,NA,NA,0.3076923076923077,0.41796875,0.8,0.35574837310195223,0.5,0.5,0.33082706766917286,0.36683417085427134,0.36141304347826086,0.3510638297872341,0.16621253405994552,0.3464566929133859,0.16113161131611317,0.37267080745341613,0.3166332665330662,0.4202247191011236,0.8059701492537313,0.58203125
Georgia,37e5,69700,40.1,31.1,0.78,4.45077467,55.4,37.2,10044,2.8,7.93235924,718,NA,NA,15,11.6,73.3,29.8,3,3,-0.37,0.57,1.05,0.33,0.74,64.2,61.8,62.8,76.2,16,111,FALSE,NA,88.4,0.002453633542613841,0.0042365631815402495,NA,NA,0.7047781569965871,0.24850731062867698,0.5679190751445087,0.0015970989167911466,0.09087478592369691,0.6318407960199004,0.37282625551962056,0.07218013468013468,NA,NA,0.6153846153846154,0.44140625,0.7553191489361702,0.4078091106290673,0.3333333333333333,0.3333333333333333,0.5087719298245613,0.5879396984924623,0.7092391304347827,0.547872340425532,0.5912806539509536,0.6115485564304463,0.5830258302583026,0.5577639751552795,0.74749498997996,0.2898876404494382,0.8208955223880597,0.5585937500000002
Togo,8e6,54385,46,13.2,0.503,4.360805035,34.9,11.6,1550,5.3,6.64913046,96,4.87635994,30.23986105162921,12,6.8,73.3,29.8,4,4,-0.74,-1.13,-0.79,-0.71,-0.71,28.2,31.4,32.7,47.8,17.6,114,FALSE,NA,93.2,0.005556758317096053,0.003301434547773258,NA,NA,0.23208191126279867,0.22824903805498017,0.2716763005780347,3.945773794425185e-4,0.008688837069791294,0.7562189054726367,0.28243675611570906,0.006734006734006734,NA,NA,0.38461538461538464,0.25390625,0.7553191489361702,0.4078091106290673,0.5,0.5,0.41604010025062654,0.16080402010050254,0.2092391304347826,0.2712765957446809,0.19618528610354224,0.13910761154855641,0.2091020910209102,0.1838509316770187,0.1783567134268537,0.3258426966292135,0.8432835820895522,0.7460937500000001
Sri Lanka,21e6,64630,39.2,33.8,0.77,4.330945492,49.3,176.1,4447,3.5,2.96601516,353,1.932880044,73.84912617901323,14,13.3,95.3,12.5,3,4,-0.06,-0.15,-0.13,0.06,-0.45,21.4,21.2,27.8,49.4,5.8,115,FALSE,NA,86.7,0.014938298332972505,0.003926990724916113,NA,NA,0.6877133105802049,0.22152562786197413,0.47976878612716767,0.008121717726858508,0.03671952859672378,0.6666666666666666,0.023001374520007004,0.03377525252525253,NA,NA,0.5384615384615384,0.5078125,0.9893617021276596,0.03253796095444685,0.3333333333333333,0.5,0.5864661654135338,0.407035175879397,0.38858695652173914,0.4760638297872341,0.2670299727520436,0.04986876640419945,0.08364083640836407,0.12298136645962736,0.21042084168336675,0.06067415730337078,0.8507462686567164,0.49218750000000017
Ukraine,45e6,579330,25.5,26.4,0.751,4.311067104,52.5,353,8305,-9.9,6.13449593,469,5.874939919,173.24682413289116,15,8.9,45,42.8,3,3,-1.89,-0.46,-0.32,-0.71,-0.78,29.5,29,41,51.9,12.3,116,FALSE,NA,91.1,0.03225806451612903,0.03535439573959913,NA,NA,0.6552901023890786,0.21704965324643086,0.5260115606936416,0.016431329443927736,0.07404863039544853,0,0.24618635535500663,0.04598063973063973,NA,NA,0.6153846153846154,0.3359375,0.4542553191489362,0.6898047722342733,0.3333333333333333,0.3333333333333333,0.12781954887218044,0.3291457286432161,0.33695652173913043,0.2712765957446809,0.17711171662125338,0.15616797900262466,0.1795817958179582,0.28695652173913044,0.2605210420841683,0.20674157303370788,0.8582089552238806,0.6640624999999998
Congo (Dem. Rep.),81e6,2267048,42.1,NA,0.457,4.311033249,24.8,65,773,7.7,4.2713599,34,NA,NA,9,3.6,94.8,13.2,7,6,-2.3,-1.63,-1.47,-1.69,-1.42,23.9,27.3,24.1,52.1,8.9,117,FALSE,NA,96.4,0.05823771379086382,0.13840587647900227,NA,NA,0.15358361774744034,0.21704203018762908,0.12572254335260116,0.002902962148755672,0.0011707675784462656,0.8756218905472637,0.11494870257021562,2.1043771043771043e-4,NA,NA,0.15384615384615385,0.12890625000000003,0.9840425531914894,0.047722342733188705,1,0.8333333333333334,0.02506265664160403,0.03517587939698496,0.024456521739130457,0.010638297872340436,0.002724795640326978,0.08267716535433069,0.15867158671586717,0.07701863354037271,0.2645290581162325,0.13033707865168542,0.8656716417910447,0.8710937500000001
